1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
75,75,80,80,75,75,80,90,86,80,85,90,88,50,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
60,70,67,65,60,50,65,55,50,55,65,80,80,35,100
75,75,75,75,75,75,75,75,75,75,75,75,75,68,100
50,60,60,70,63,55,55,52,51,50,55,60,67,60,100
50,44,55,75,30,19,13,9,10,6,5,77,6,8,100
,50,53,56,53,50,53,53,50,40,40,90,70,67,100
,50,50,79,61,80,80,81,83,86,89,91,93,94,100
36,30,35,37,25,20,20,17,16,15,18,25,25,15,100
50,50,67,80,60,60,60,60,55,55,55,65,65,55,100
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
,55,60,60,55,55,60,55,55,55,55,60,60,75,100
90,90,90,95,90,90,90,75,70,50,80,95,90,90,100
55,60,60,60,55,55,60,53,51,51,51,90,70,55,100
85,85,87,89,80,81,85,90,76,75,83,95,94,98,100
,80,80,80,75,75,75,65,50,50,50,75,80,40,100
,70,70,75,70,65,72,72,65,51,60,75,55,52,100
50,52,54,59,52,50,55,52,50,50,51,60,53,52,100
50,50,50,50,50,50,50,50,50,50,50,50,51,40,100
,45,65,67,60,60,65,56,60,56,57,71,55,50,100
,34,37,40,37,45,51,55,55,55,55,65,60,68,100
,70,73,73,70,70,70,65,55,52,51,57,70,72,99
,60,65,68,60,66,67,68,60,73,75,83,65,57,100
,69,68,83,69,71,73,74,63,66,83,88,79,68,100
70,66,75,90,80,75,25,7,6,,,,,,
,50,50,50,50,50,50,50,41,30,45,50,50,45,100
,50,50,65,62,70,65,60,56,50,51,60,50,50,100
50,50,75,67,50,,65,70,65,60,62,85,95,89,100
25,25,35,50,25,16,24,10,20,12,16,25,20,5,100
10,15,15,15,10,10,15,15,10,10,5,10,5,5,100